Age,Gender,Tenure,MonthlyCharges
53,0,1,109.76
36,0,56,114.09
45,0,14,112.48
40,0,10,87.19
49,1,33,86.68
48,1,36,66.29
55,0,8,97.72
39,0,23,77.82
42,1,29,90.97
35,0,21,68.56
40,1,3,95.83
48,1,41,104.2
52,1,15,43.18
35,0,6,104.96
53,0,11,78.63
58,1,0,106.02
49,1,2,68.82
63,0,29,64.11
37,1,0,112.36
32,0,10,52.61
27,1,14,105.98
59,0,1,73.56
51,1,72,76.27
44,0,5,57.76
47,0,7,81.57
33,0,7,59.27
69,0,5,33.53
46,1,0,54.48
46,1,26,30.57
52,0,68,118.05
49,0,5,116.92
47,1,21,65.56
37,1,27,95.55
49,1,37,61.12
63,0,10,90.4
58,0,7,102.49
60,1,7,115.21
39,0,24,66.02
35,1,33,100.5
43,0,4,53.93
45,1,9,119.13
55,0,46,32.32
28,1,32,84.32
60,1,83,89.36
43,1,28,91.92
40,0,9,40.83
34,1,17,114.47
28,1,21,46.31
53,1,1,86.05
45,1,15,50.04
32,1,24,57.65
32,1,3,79.18
41,0,30,67.55
61,1,17,44.42
42,1,60,45.38
29,0,0,67.63
42,0,6,98.16
42,0,18,110.82
18,1,7,37.57
44,1,25,65.38
42,1,28,39.02
51,1,2,31.49
63,0,14,89.55
56,0,14,84.22
42,0,9,44.67
33,0,54,51.04
70,0,35,32.13
45,0,23,105.15
45,1,25,117.72
44,1,12,42.19
46,1,50,50.83
43,1,23,108.16
39,1,26,113.38
39,0,39,67.77
44,1,6,34.56
39,1,32,33.55
37,0,4,81.66
46,0,8,65.36
42,1,8,32.58
60,0,76,82.49
18,1,38,31.02
55,1,24,100.86
57,0,25,57.58
24,0,16,33.62
41,0,58,82.95
41,0,13,65.79
30,0,9,117.64
37,1,3,78.98
33,0,30,54.77
62,1,26,93.85
54,0,9,54.43
57,1,0,111.38
52,0,36,63.72
33,0,0,79.49
39,1,24,34.55
49,1,70,68.35
32,0,11,104.91
52,1,5,102.51
42,0,24,50.19
41,1,33,50.35
52,0,15,103.56
49,0,68,113.74
41,1,1,38.58
56,1,14,70.51
34,0,25,60.37
51,1,39,108.36
50,1,3,37.52
41,0,32,49.0
48,1,16,97.72
32,0,10,34.62
54,1,2,74.33
43,1,40,69.79
39,1,3,60.1
55,0,7,65.51
37,0,6,77.69
30,0,41,44.52
29,0,22,81.48
51,0,31,102.49
32,1,5,98.41
62,0,19,43.85
24,0,16,43.43
61,1,35,54.14
47,0,47,62.5
44,1,0,66.76
39,0,22,91.17
48,1,1,35.1
44,0,15,33.12
56,0,6,65.27
46,1,7,92.74
46,0,8,47.41
41,1,19,87.74
44,0,8,53.38
48,0,26,109.75
27,1,10,110.61
31,0,1,56.76
52,1,30,50.7
46,1,6,67.02
43,1,11,51.65
45,1,23,90.51
48,0,8,104.35
39,0,1,90.58
37,0,9,104.19
46,1,57,65.73
35,1,20,44.07
49,0,22,96.42
27,1,20,62.44
55,0,4,90.41
49,1,10,54.36
47,0,27,37.31
54,1,2,119.33
61,1,6,44.06
55,0,6,118.96
26,0,11,117.96
32,0,78,101.44
38,0,1,89.35
45,0,14,82.0
50,1,3,107.95
37,1,70,56.05
46,1,2,72.09
37,0,10,85.75
38,1,26,67.01
30,1,24,68.47
35,0,10,59.73
31,1,8,80.78
35,1,10,106.55
55,0,6,48.14
35,0,4,114.1
71,1,13,92.02
49,0,6,104.09
46,1,6,80.06
36,1,21,100.16
52,1,69,31.46
39,0,18,103.65
46,0,1,33.61
70,1,1,110.09
44,1,60,119.28
56,0,7,56.47
37,1,1,48.93
44,1,18,98.88
62,0,19,52.77
38,0,20,107.9
63,1,6,39.26
52,0,0,41.34
39,0,67,118.12
51,0,5,90.65
54,0,22,106.22
51,1,24,59.19
29,1,18,90.88
37,0,7,83.48
42,1,6,84.28
44,1,18,91.43
51,1,40,81.78
46,0,58,68.62
31,0,2,54.83
48,1,3,99.17
51,1,57,50.36
50,0,26,92.31
55,0,42,51.0
53,0,4,86.28
49,1,17,97.24
44,1,24,49.68
28,1,22,35.39
49,0,10,41.79
47,1,0,84.54
47,1,17,106.45
32,0,5,34.05
34,1,11,96.07
55,1,63,60.72
44,0,10,73.07
51,1,36,113.6
45,0,4,59.88
45,1,22,71.88
54,1,75,31.23
39,1,2,37.34
45,1,0,53.27
40,0,11,32.51
40,1,1,86.82
41,1,27,68.38
47,0,49,79.33
40,1,11,45.72
57,1,5,56.63
36,0,11,89.74
43,1,25,116.88
40,1,0,34.54
59,0,17,110.13
46,1,19,81.92
55,0,20,80.75
30,0,5,75.03
47,0,25,36.25
53,1,1,38.09
45,1,4,84.08
55,0,41,60.69
39,0,26,112.55
59,1,0,66.59
67,0,5,42.9
41,1,4,94.32
40,1,6,56.4
59,1,5,77.29
60,1,1,92.8
39,0,12,111.02
40,1,26,101.3
42,1,18,90.87
31,1,22,91.17
35,0,1,115.13
34,1,60,56.62
37,0,36,30.1
44,0,32,54.48
47,0,34,49.61
60,1,53,89.57
35,1,15,87.03
54,1,4,83.41
42,1,19,31.46
44,0,27,95.59
51,1,26,59.12
33,0,14,89.86
48,1,1,80.09
46,1,9,60.85
49,1,50,42.11
47,1,17,38.5
69,0,15,104.84
38,0,6,112.66
39,1,9,88.48
38,0,45,39.31
39,0,21,66.18
38,1,30,95.6
56,1,12,100.18
59,0,19,40.64
39,0,5,30.0
36,1,24,94.09
49,1,11,62.09
39,0,11,52.9
51,0,20,31.16
47,0,55,78.63
29,0,1,106.6
60,0,34,116.19
62,1,6,80.92
38,1,11,76.3
41,1,0,37.66
47,0,7,79.4
48,1,13,64.2
51,0,1,84.64
65,1,13,64.99
43,1,52,51.63
37,0,2,38.55
31,1,28,58.34
37,0,10,38.7
44,1,21,45.92
62,0,6,118.86
39,0,3,69.97
47,1,3,77.87
44,0,1,108.63
56,1,4,119.6
70,0,21,82.44
39,1,42,103.12
40,1,33,59.42
55,1,23,57.52
51,0,2,66.24
63,0,6,90.53
50,0,7,91.4
41,0,5,58.37
50,1,14,41.99
56,1,15,86.92
53,1,8,41.55
50,1,8,82.06
55,1,35,92.41
56,1,31,93.06
58,0,7,97.81
51,1,49,108.56
43,1,61,75.0
46,1,7,95.72
57,0,8,85.73
36,0,14,46.8
48,0,56,32.31
41,1,41,55.61
45,1,2,69.87
57,0,9,85.54
46,1,16,106.5
45,0,13,47.66
31,0,4,41.3
52,0,39,116.71
51,1,22,39.72
66,1,36,73.06
41,0,39,82.7
47,1,27,78.72
47,0,11,37.74
60,1,18,35.13
44,1,3,39.49
47,1,22,82.7
51,0,3,78.99
46,1,23,51.04
40,1,5,87.4
46,0,2,103.81
55,1,3,33.74
34,0,0,74.83
46,1,25,92.04
37,0,26,52.71
56,1,14,57.7
29,1,3,85.23
39,0,1,110.81
48,0,0,102.89
60,0,3,82.48
44,0,44,95.72
39,0,5,62.83
63,1,8,87.69
30,0,2,71.96
23,0,5,47.09
49,1,14,93.16
39,0,18,80.08
34,1,5,62.28
52,1,1,112.02
47,1,9,31.88
39,1,5,58.42
32,1,4,35.12
53,0,64,98.99
51,0,19,93.19
44,0,16,59.82
63,1,10,90.81
34,0,11,65.63
29,1,15,98.06
38,1,23,70.88
44,1,24,67.11
47,1,3,114.13
42,0,13,52.58
48,1,10,40.84
32,1,40,82.61
59,0,19,117.24
44,0,15,64.01
56,1,2,35.58
48,1,18,60.54
49,1,2,75.53
50,1,8,44.57
49,1,3,89.23
51,1,23,119.8
58,0,4,70.66
46,0,9,61.93
52,0,45,66.06
44,1,4,40.36
59,1,14,109.49
38,1,10,67.33
63,0,0,64.85
44,1,31,89.37
30,1,1,69.78
46,1,12,88.34
38,1,16,35.53
53,0,19,103.24
38,1,23,114.65
40,0,5,88.39
26,0,0,115.91
40,1,25,43.63
20,1,15,72.97
29,1,36,84.16
52,1,34,82.36
52,1,37,66.13
49,1,13,60.43
35,1,8,41.41
44,0,31,65.26
44,0,12,44.64
33,0,4,96.09
60,0,38,48.79
53,0,42,35.27
42,0,12,79.71
45,0,1,83.57
47,1,9,108.47
24,0,32,81.93
42,1,46,61.09
38,0,4,102.27
34,1,1,78.63
42,0,41,37.14
62,0,9,80.93
51,1,15,111.72
39,0,68,65.67
50,0,1,56.67
